 ,Angle,Length
1,-122.196,15.457
2,-93.180,17.467
3,-77.471,17.866
4,-66.615,19.529
5,-87.455,21.822
6,-43.958,18.844
7,-51.340,18.612
8,27.300,16.900
9,-94.764,17.501
10,-56.821,15.049
11,-30.379,16.285
12,-86.634,16.500
13,-65.225,20.809
14,-40.972,24.382
15,-45.909,21.584
16,-45.000,19.183
17,-57.171,17.872
18,-62.700,16.900
19,-59.859,17.366
20,-49.185,14.082
21,-58.782,18.694
22,-74.578,14.574
23,-88.315,16.478
24,-114.305,16.478
25,-59.036,16.949
26,-96.710,16.585
27,-67.521,15.204
28,-75.530,15.510
29,-138.013,13.035
30,-88.409,17.447
31,-90.000,22.285
32,-120.579,12.380
33,-73.610,17.169
34,-86.424,15.533
35,-32.347,17.203
36,-90.000,16.956
37,-108.970,16.393
38,-16.189,15.638
39,-11.310,14.821
40,-142.125,16.571
41,-47.726,14.404
42,-17.103,19.768
43,-95.906,14.124
44,45.000,16.443
45,-47.490,15.772
46,-40.030,15.817
47,34.160,16.393
48,-87.510,22.306
49,-45.000,18.498
50,36.573,18.700
