Callus,Plant,ULCount,URCount,URPercent,FileName,Callus_1,Plant_1,SampleName
C64,P1,4097,7010,62.37,report01-04.csv,C64,P1,C64P1
C57,P1,608,10704,93.4,report01-04.csv,C57,P1,C57P1
C57,P1,2067,10346,81.83,report01-04.csv,C57,P1,C57P1
C57,P1,601,11117,93.85,report01-04.csv,C57,P1,C57P1
C70,P4,5366,5800,51.07,report01-04.csv,C70,P4,C70P4
C70,P4,1601,10781,85.84,report01-04.csv,C70,P4,C70P4
C3,P1,702,10271,92.17,report01-04.csv,C3,P1,C3P1
C3,P1,1945,5575,72.68,report01-04.csv,C3,P1,C3P1
C44,P2,3499,7250,63.1,report01-04.csv,C44,P2,C44P2
C44,P2,2758,8758,74.75,report01-04.csv,C44,P2,C44P2
C27,P1,2934,7370,70.08,report01-04.csv,C27,P1,C27P1
C27,P1,1812,9712,82.05,report01-04.csv,C27,P1,C27P1
C27,P1,4949,6481,55.73,report01-04.csv,C27,P1,C27P1
C2,P1,714,9862,91.67,report01-04.csv,C2,P1,C2P1
C2,P1,763,9598,91.1,report01-04.csv,C2,P1,C2P1
C2,P1,504,9979,93.73,report01-04.csv,C2,P1,C2P1
C86,P1,3723,7222,64.84,report01-04.csv,C86,P1,C86P1
C86,P1,2674,5125,63.63,report01-04.csv,C86,P1,C86P1
C86,P1,4362,5721,53.04,report01-04.csv,C86,P1,C86P1
C82,P1,1784,1243,36.72,report01-04.csv,C82,P1,C82P1
C82,P1,6356,4349,38.42,report01-04.csv,C82,P1,C82P1
C82,P1,7345,2602,25.12,report01-04.csv,C82,P1,C82P1
C26,P3,352,6086,91.78,report01-04.csv,C26,P3,C26P3
C26,P3,485,11175,94.75,report01-04.csv,C26,P3,C26P3
C26,P3,303,6040,93.18,report01-04.csv,C26,P3,C26P3
C6,P4,474,8459,93.42,report01-04.csv,C6,P4,C6P4
C6,P4,416,10096,94.53,report01-04.csv,C6,P4,C6P4
C6,P4,341,11285,96.3,report01-04.csv,C6,P4,C6P4
C85,P1,4174,6741,60.71,report01-04.csv,C85,P1,C85P1
C85,P1,2624,7794,73.83,report01-04.csv,C85,P1,C85P1
C85,P1,3567,6884,64.47,report01-04.csv,C85,P1,C85P1
C26,P2,392,11566,95.95,report01-04.csv,C26,P2,C26P2
C26,P2,509,9793,92.62,report01-04.csv,C26,P2,C26P2
C26,P2,1604,10572,85.75,report01-04.csv,C26,P2,C26P2
C81,P1,2091,8377,77.8,report01-04.csv,C81,P1,C81P1
C81,P1,3197,7526,69.33,report01-04.csv,C81,P1,C81P1
C81,P1,2373,7293,70.19,report01-04.csv,C81,P1,C81P1
C86,P2,588,10862,93.48,report01-04.csv,C86,P2,C86P2
C86,P2,3459,8184,69.12,report01-04.csv,C86,P2,C86P2
C86,P2,1183,9969,87.69,report01-04.csv,C86,P2,C86P2
C42,P1,3266,6856,65.21,report02-04.csv,C42,P1,C42P1
C78,P3,479,10209,93.88,report02-04.csv,C78,P3,C78P3
C74,P2,2582,8370,75.39,report02-04.csv,C74,P2,C74P2
C6,P3,4062,6331,58.27,report04-04.csv,C6,P3,C6P3
C28,P1,4146,6919,61.78,report04-04.csv,C28,P1,C28P1
C28,P1,3765,7044,64.55,report04-04.csv,C28,P1,C28P1
C28,P1,3334,8113,69.69,report04-04.csv,C28,P1,C28P1
C42,P1,3065,8416,71.69,report04-04.csv,C42,P1,C42P1
C42,P1,2262,8702,78.04,report04-04.csv,C42,P1,C42P1
C67,P1,794,9629,90.85,report04-04.csv,C67,P1,C67P1
C67,P1,1378,9014,85.55,report04-04.csv,C67,P1,C67P1
C74,P2,374,9912,94.89,report04-04.csv,C74,P2,C74P2
C3,P1,2908,6225,62.63,report04-04.csv,C3,P1,C3P1
C44,P2,3184,8166,70.6,report04-04.csv,C44,P2,C44P2
C85,P2,530,9791,93.25,report04-04.csv,C85,P2,C85P2
C85,P2,503,11558,94.75,report04-04.csv,C85,P2,C85P2
C85,P2,488,11308,94.7,report04-04.csv,C85,P2,C85P2
C19,P1,4234,6333,57.83,report07-03.csv,C19,P1,C19P1 A
C19,P1,253,1271,80.96,report07-03.csv,C19,P1,C19P1
