Callus,Plant,Meas_1_VPercent,Meas_2_VPercent,Meas_3_VPercent,Meas_4_VPercent,Meas_5_VPercent,Average_VPercent,Stdev_VPercent
,,,,,,,,
,,,,,,,,
C1,P5,27.37,22.88,57.48,32.07,28.82,33.724,13.68482846
C19,P1,57.83,80.96,39.24,39.74,93.81,62.316,24.50394111
C2,P1,91.67,91.1,93.73,,,92.16666667,1.383558215
C20,P1,50.97,18.26,2.96,0.65,27.34,20.036,20.4989129
C20,P2,65.46,64.5,70.59,56.47,59.55,63.314,5.476315367
C21,P1,22.17,25.22,45.2,8.11,6.72,21.484,15.60221555
C21,P2,57.84,,,,,57.84,0
C22,P2,69.62,68.06,69.36,,,69.01333333,0.835783066
C22,P3,40.5,27.02,53.17,65.18,44.92,46.158,14.23739162
C23,P1,65.89,69.5,56.06,71.79,68.83,66.414,6.159174458
C25,P1,47.83,43.02,69.44,65.16,60.51,57.192,11.32479889
C25,P2,93.16,95.87,92.67,,,93.9,1.723571873
C26,P1,86.6,68.8,89.38,,,81.59333333,11.16620497
C26,P2,95.95,92.62,85.75,,,91.44,5.201374818
C26,P3,91.78,94.75,93.18,,,93.23666667,1.485810665
C27,P1,70.08,82.05,55.73,57.14,82.39,69.478,12.90708216
C27,P2,41.12,50.88,57.57,60.14,35.7,49.082,10.48844221
C28,P1,61.78,64.55,69.69,,,65.34,4.013738905
C29,P2,72.16,52.05,48.82,,,57.67666667,12.64647909
C3,P1,92.17,72.68,62.63,,,75.82666667,15.01928871
C31,P2,88.98,6.12,66.14,58.72,73.57,58.706,31.45634086
C32,P1,85.28,84.38,91.07,,,86.91,3.630661097
C32,P2,68.32,93.79,93.92,90.97,94.32,88.264,11.22817572
C33,P1,63.02,49.23,66.36,55.05,74.21,61.574,9.741690305
C34,P1,83.75,88.54,66.17,44.91,94.31,75.536,20.09173163
C35,P1,90.09,,,,,90.09,0
C35,P2,94.78,92.21,94.37,95.02,83.27,91.93,4.967348387
C36,P1,52.51,88.18,88.89,,,76.52666667,20.80207281
C38,P1,92.43,41.75,72.61,37.7,51.36,59.17,22.97974434
C39,P1,47.15,87.97,79.98,,,71.7,21.63300488
C39,P2,62,58.43,62.58,44.02,25.32,50.47,15.94584272
C39,P3,47.89,92.96,64.44,89.1,95.27,77.932,20.83102902
C40,P2,49.62,,,,,49.62,0
C40,P3,90.3,90.98,91.57,88.02,90.85,90.344,1.375365406
C40,P4,63.62,53.66,66.33,62.42,57.37,60.68,5.094855248
C42,P1,65.21,71.69,78.04,,,71.64666667,6.415109768
C42,P2,55.79,85.23,61.77,88.17,87.23,75.638,15.56997495
C43,P1,27,25.49,54,69.06,,43.8875,21.28828375
C43,P2,62.23,59.07,69.84,,,63.71333333,5.536102721
C44,P1,44.08,55.93,47.18,32.24,56.27,47.14,9.899446954
C44,P2,63.1,74.75,70.6,,,69.48333333,5.904729743
C50,P1,66.61,60.28,50.96,64.63,65.13,61.522,6.357347717
C51,P1,85.49,69.84,67.6,81.6,91.27,79.16,10.16329917
C52,P1,76.16,82.28,48.57,52.44,58.53,63.596,14.85637338
C53,P1,94.58,92.38,94.58,91.99,94.74,93.654,1.349659216
