"CP","n","W","p.value"
"C12P1",3,0.814167580229193,0.148790003711062
"C12P2",1,NA,NA
"C12P3",2,NA,NA
"C12P4",2,NA,NA
"C12P5",3,0.996495955390605,0.88687980408235
"C12P6",3,0.997765462996067,0.909685594596132
"C12P7",3,0.888010978129878,0.348296312341873
"C13P1",3,0.848129026476416,0.235459212245752
"C13P2",3,0.795802650551432,0.104516802969705
"C14P1",3,0.897226173541966,0.376725983585926
"C14P2",3,0.784350372677091,0.0776612397266225
"C14P3",3,0.986359789133808,0.776434797899095
"C14P4",4,0.922027820661876,0.548374073360709
"C15P1",3,0.75574678638522,0.0127227863050589
"C15P2",3,0.777519805653302,0.0618907192147149
"C16P1",3,0.783074341940569,0.0747016007496302
"C17P1",3,0.992279716710266,0.831973261549108
"C17P2",1,NA,NA
"C22P1",3,0.914355893146153,0.432777230528809
"C25P1",3,0.999295405236893,0.949298349570745
"C2P11",3,0.985398876635557,0.768656617288059
"C2P13",3,0.834173710847617,0.19899409661304
"C2P2",3,0.947232352500375,0.557329256951221
"C2P3",3,0.764557509368694,0.0324279948573967
"C2P5",3,0.780873077348678,0.0696107032273506
"C2P6",3,0.854651162790698,0.252969648965826
"C2P7",3,0.997397892175088,0.902534133344903
"C2P8",3,0.989726027397261,0.806082478518544
"C2P9",3,0.936140102600389,0.512078416977511
"C31P1",3,0.782278138647128,0.072858068096864
"C3P1",3,0.916936088002208,0.441643057473905
"C3P3",3,0.809312176089568,0.136929113787749
"C3P4",3,0.928958604578476,0.48472542427466
"C3P5",3,0.84906251603398,0.237946132634404
"C3P6",2,NA,NA
"C42P1",3,0.912356581230353,0.425990352890294
"C4P2",1,NA,NA
"C4P3",3,0.772303888466928,0.0499644092582908
"C4P4",3,0.804991591036499,0.126471448820155
"C4P5",3,0.992889789893661,0.838765269498098
"C4P6",2,NA,NA
"C6P1",3,0.987620652235994,0.787063357650248
"C6P2",4,0.956425857192757,0.756418081848591
"C6P3",3,0.995671140593937,0.8742517499612
"C6P5",2,NA,NA
"C6P6",3,0.995181545565896,0.867320249827456
"C7P2",2,NA,NA
"C7P3",3,0.892964401545246,0.363444382901269
