GIZ001,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Average ,Stdev,Total
wildtype,77,12,44,56,38,43,18,44,40,96,46.8,24.97020447,468
C35P1,27,19,28,17,48,30,14,8,18,30,23.9,11.2491975,239
C1P5,0,1,0,0,0,1,0,0,0,1,0.3,0.483045892,3
C32P1,37,21,66,59,37,59,70,0,37,45,43.1,21.64075374,431
C29P2,5,4,5,0,,,,,,,3.5,2.380476143,14
C27P1,2,1,16,55,19,40,11,32,36,48,26,18.9502272,260
C21P1,2,6,10,7,1,1,1,6,1,8,4.3,3.465704995,43
C20P1,2,0,0,1,0,0,0,0,0,0,0.3,0.674948558,3
C1p1,23,33,,,,,,,,,28,7.071067812,56
C36P1,3,7,10,11,12,14,16,116,23,,23.55555556,35.11805487,212
C19P1,8,32,57,29,28,27,14,40,13,23,27.1,14.30190353,271
