 ,Angle,Length
1,-90.000,17.925
2,-100.008,16.726
3,-93.180,17.467
4,-90.000,17.440
5,-91.591,17.447
6,-91.364,20.353
7,-62.103,18.637
8,-90.000,19.862
9,-84.428,19.957
10,-92.862,19.402
11,-79.824,19.195
12,-80.538,17.681
13,-70.145,18.542
14,-79.563,18.719
15,-69.075,17.634
16,-61.390,18.210
17,-55.125,19.487
18,-46.042,18.844
19,-98.130,17.128
20,-86.987,18.435
21,-97.125,19.529
22,-109.359,18.999
23,-113.385,19.529
24,-82.304,18.088
25,-70.145,18.542
26,-64.093,18.850
27,-90.000,18.409
28,-88.531,18.900
29,-91.432,19.384
30,-113.199,18.447
31,-82.504,18.568
32,-86.987,18.435
33,-81.027,18.637
34,-35.362,18.415
35,-47.045,19.195
36,-88.531,18.900
37,-83.991,18.511
38,-97.496,18.568
39,-88.409,17.447
40,-88.452,17.931
41,-86.906,17.951
42,-90.000,19.862
43,-93.180,17.467
44,-106.557,18.700
45,-98.746,19.116
46,-91.432,19.384
47,-97.496,18.568
48,-55.125,19.487
49,-114.677,19.726
50,32.471,18.949
