GIZ32,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Average ,Stdev,Total
wildtype,77,12,44,56,38,43,18,44,40,96,46.8,24.97020447,468
C7P3,10,7,12,2,10,7,0,0,5,9,6.2,4.315347289,62
C3P3,13,15,1,26,21,30,13,36,40,28,22.3,11.96337002,223
C3P2,15,3,,,,,,,,,9,8.485281374,18
C2P3,0,0,0,0,0,0,0,0,0,0,0,0,0
C2P2,0,0,0,0,0,0,0,0,0,2,0.2,0.632455532,2
C6P1,0,43,20,21,0,31,19,7,5,47,19.3,16.8987179,193
C18P1,3,4,3,5,2,4,5,2,6,0,3.4,1.776388346,34
C17P1,0,0,0,1,5,4,10,8,0,4,3.2,3.645392831,32
C16P1,1,0,41,0,15,4,0,0,0,0,6.1,13.12715591,61
C17P2,3,0,0,0,1,0,0,0,0,0,0.4,0.966091783,4
C12P1,20,66,75,51,46,32,50,17,35,40,43.2,18.48001924,432
C15P1,77,12,44,56,38,43,18,44,40,96,46.8,24.97020447,468
C12P5,0,,,,,,,,,,0,#DIV/0!,0
C41P1,14,18,,,,,,,,,16,2.828427125,32
C14P1,55,43,22,51,33,36,42,45,19,27,37.3,12.06510119,373
C12P7,0,2,7,0,2,,,,,,2.2,2.863564213,11
C6P2,14,2,2,36,,,,,,,13.5,16.03121954,54
C6P3,66,23,31,18,22,10,,,,,28.33333333,19.684173,170
C6P6,18,10,27,,,,,,,,18.33333333,8.504900548,55
C7P2,4,0,13,0,9,5,11,3,10,7,6.2,4.541169698,62
C14P2,7,5,7,7,11,0,0,1,0,6,4.4,3.893013686,44
C3P6,34,28,50,27,47,47,32,50,43,21,37.9,10.73364389,379
C19P1,0,0,0,0,0,6,0,0,0,0,0.6,1.897366596,6
C3P4,21,42,39,4,14,55,65,14,3,5,26.2,22.49345584,262
C2P6,1,0,1,0,0,1,0,0,0,0,0.3,0.483045892,3
C3P1,56,35,31,47,27,47,22,47,17,51,38,13.38323993,380
C31P1,25,7,20,11,5,25,11,0,10,6,12,8.576453554,120
C14P4,10,5,27,20,48,43,10,48,6,15,23.2,17.28711788,232
